iter	Passed	Remaining
0	5	496
1	7	350
2	8	288
3	10	247
4	11	226
5	13	214
6	15	204
7	17	198
8	19	194
9	22	201
10	24	197
11	26	193
12	28	188
13	30	185
14	32	182
15	33	177
16	35	175
17	37	170
18	39	166
19	40	162
20	42	158
21	43	155
22	45	151
23	46	148
24	48	145
25	50	144
26	52	140
27	53	137
28	54	134
29	56	131
30	57	128
31	59	125
32	60	123
33	62	120
34	63	118
35	65	115
36	66	113
37	68	111
38	69	108
39	71	106
40	72	104
41	73	101
42	75	99
43	76	97
44	78	95
45	80	94
46	81	92
47	83	90
48	85	88
49	87	87
50	89	85
51	90	83
52	91	81
53	93	79
54	94	77
55	95	75
56	97	73
57	98	71
58	99	69
59	101	67
60	102	65
61	104	63
62	105	62
63	109	61
64	114	61
65	118	60
66	120	59
67	122	57
68	125	56
69	126	54
70	128	52
71	129	50
72	130	48
73	132	46
74	133	44
75	135	42
76	137	41
77	139	39
78	140	37
79	142	35
80	144	33
81	145	32
82	147	30
83	149	28
84	150	26
85	152	24
86	153	23
87	155	21
88	157	19
89	158	17
90	160	15
91	161	14
92	163	12
93	164	10
94	166	8
95	168	7
96	169	5
97	171	3
98	172	1
99	174	0
