iter	Passed	Remaining
0	140	139918
1	146	72981
2	149	49650
3	151	37759
4	153	30628
5	158	26258
6	161	22852
7	163	20302
8	165	18207
9	166	16516
10	168	15134
11	171	14108
12	173	13171
13	174	12324
14	176	11591
15	178	10956
16	179	10395
17	181	9893
18	182	9439
19	185	9112
20	187	8751
21	189	8416
22	190	8110
23	192	7823
24	193	7558
25	195	7316
26	196	7093
27	199	6931
28	201	6747
29	203	6568
30	204	6395
31	206	6240
32	207	6088
33	209	5945
34	210	5809
35	212	5698
36	215	5608
37	217	5493
38	218	5382
39	219	5277
40	221	5177
41	223	5089
42	224	4998
43	226	4912
44	229	4864
45	230	4788
46	232	4717
47	234	4642
48	235	4570
49	237	4504
50	238	4439
51	240	4376
52	243	4344
53	244	4289
54	246	4233
55	247	4178
56	249	4127
57	251	4083
58	253	4041
59	256	4013
60	259	3988
61	261	3951
62	263	3913
63	264	3873
64	266	3836
65	268	3799
66	271	3781
67	273	3753
68	276	3724
69	277	3690
70	279	3656
71	281	3622
72	282	3590
73	284	3561
74	287	3542
75	289	3513
76	290	3485
77	293	3470
78	296	3453
79	298	3432
80	302	3434
81	304	3413
82	306	3382
83	308	3362
84	310	3337
85	311	3314
86	313	3294
87	316	3279
88	318	3258
89	320	3240
90	322	3217
91	323	3196
92	325	3174
93	327	3155
94	330	3150
95	332	3133
96	334	3113
97	336	3096
98	338	3078
99	340	3060
100	341	3042
101	346	3049
102	348	3034
103	350	3018
104	352	3003
105	354	2989
106	357	2984
107	362	2991
108	364	2978
109	366	2961
110	368	2953
111	375	2975
112	377	2964
113	380	2954
114	382	2945
115	384	2933
116	386	2917
117	391	2924
118	393	2911
119	396	2904
120	398	2897
121	400	2883
122	403	2877
123	406	2872
124	408	2860
125	410	2846
126	411	2830
127	413	2817
128	415	2804
129	419	2807
130	421	2797
131	424	2788
132	426	2779
133	428	2768
134	430	2758
135	433	2756
136	436	2748
137	438	2738
138	440	2728
139	442	2718
140	445	2714
141	447	2703
142	449	2695
143	451	2686
144	455	2684
145	457	2675
146	461	2675
147	463	2670
148	468	2674
149	470	2668
150	472	2658
151	474	2647
152	476	2638
153	480	2638
154	482	2630
155	484	2620
156	486	2610
157	488	2600
158	489	2590
159	493	2589
160	494	2577
161	496	2566
162	498	2557
163	499	2547
164	501	2538
165	503	2528
166	507	2530
167	509	2521
168	510	2512
169	512	2502
170	514	2495
171	516	2486
172	518	2479
173	520	2469
174	522	2464
175	524	2456
176	526	2447
177	527	2438
178	529	2428
179	532	2425
180	534	2417
181	537	2414
182	538	2405
183	540	2397
184	542	2388
185	543	2379
186	545	2371
187	547	2363
188	548	2355
189	552	2353
190	554	2346
191	555	2338
192	557	2330
193	559	2322
194	560	2314
195	563	2309
196	564	2302
197	567	2297
198	569	2290
199	570	2282
200	573	2279
201	575	2272
202	577	2266
203	578	2259
204	581	2254
205	582	2246
206	584	2239
207	586	2231
208	587	2224
209	589	2216
210	591	2209
211	593	2206
212	596	2202
213	598	2197
214	600	2191
215	601	2184
216	605	2184
217	611	2192
218	612	2186
219	614	2180
220	617	2174
221	623	2184
222	625	2179
223	627	2173
224	629	2167
225	631	2162
226	635	2163
227	638	2161
228	640	2155
229	642	2149
230	643	2143
231	645	2136
232	648	2134
233	653	2138
234	654	2131
235	656	2125
236	658	2118
237	659	2112
238	661	2105
239	663	2099
240	665	2096
241	667	2091
242	669	2084
243	671	2079
244	672	2072
245	674	2066
246	675	2060
247	680	2064
248	684	2064
249	688	2066
250	690	2060
251	691	2053
252	693	2047
253	701	2061
254	704	2057
255	706	2053
256	708	2048
257	711	2047
258	713	2042
259	715	2036
260	717	2031
261	719	2025
262	720	2019
263	722	2014
264	724	2010
265	728	2009
266	730	2004
267	731	1998
268	733	1992
269	734	1986
270	737	1982
271	741	1984
272	743	1979
273	745	1975
274	748	1974
275	752	1974
276	760	1985
277	763	1982
278	765	1977
279	767	1972
280	768	1967
281	773	1968
282	779	1974
283	782	1972
284	784	1968
285	794	1982
286	800	1988
287	810	2004
288	813	2001
289	815	1996
290	822	2003
291	827	2006
292	830	2002
293	839	2016
294	845	2021
295	851	2026
296	854	2021
297	858	2022
298	860	2018
299	865	2018
300	867	2013
301	871	2013
302	873	2008
303	875	2003
304	881	2009
305	896	2032
306	900	2032
307	903	2029
308	905	2024
309	907	2019
310	912	2021
311	915	2019
312	921	2022
313	930	2032
314	932	2028
315	935	2025
316	937	2020
317	942	2021
318	944	2016
319	949	2016
320	950	2011
321	953	2008
322	955	2003
323	957	1997
324	959	1993
325	962	1989
326	964	1984
327	965	1978
328	972	1982
329	979	1989
330	988	1998
331	991	1994
332	993	1989
333	1004	2003
334	1007	1999
335	1008	1993
336	1012	1991
337	1014	1987
338	1016	1982
339	1027	1995
340	1029	1990
341	1031	1984
342	1033	1979
343	1039	1981
344	1042	1978
345	1046	1977
346	1053	1982
347	1057	1981
348	1060	1978
349	1069	1985
350	1072	1982
351	1074	1978
352	1081	1982
353	1086	1982
354	1092	1984
355	1103	1996
356	1107	1994
357	1119	2007
358	1122	2004
359	1132	2012
360	1138	2015
361	1147	2022
362	1156	2029
363	1162	2031
364	1164	2025
365	1166	2020
366	1177	2031
367	1180	2028
368	1185	2026
369	1196	2037
370	1198	2031
371	1200	2026
372	1202	2021
373	1211	2028
374	1220	2033
375	1225	2033
376	1229	2032
377	1239	2040
378	1250	2049
379	1258	2052
380	1261	2048
381	1274	2062
382	1277	2057
383	1290	2070
384	1293	2066
385	1307	2079
386	1322	2094
387	1325	2090
388	1336	2099
389	1340	2095
390	1347	2098
391	1353	2098
392	1355	2093
393	1357	2087
394	1367	2094
395	1369	2089
396	1372	2084
397	1375	2080
398	1378	2076
399	1380	2071
400	1382	2065
401	1393	2073
402	1395	2068
403	1397	2061
404	1402	2060
405	1411	2064
406	1413	2059
407	1423	2065
408	1425	2060
409	1428	2055
410	1437	2060
411	1440	2056
412	1443	2052
413	1450	2053
414	1454	2050
415	1457	2045
416	1459	2040
417	1469	2045
418	1471	2040
419	1473	2035
420	1477	2032
421	1484	2033
422	1487	2029
423	1497	2034
424	1501	2030
425	1502	2025
426	1506	2021
427	1514	2023
428	1517	2019
429	1519	2014
430	1523	2011
431	1525	2005
432	1538	2013
433	1540	2008
434	1542	2003
435	1553	2009
436	1556	2005
437	1558	2000
438	1564	1999
439	1566	1994
440	1569	1989
441	1580	1995
442	1583	1990
443	1585	1985
444	1595	1989
445	1597	1984
446	1600	1979
447	1612	1986
448	1615	1982
449	1622	1983
450	1628	1982
451	1630	1977
452	1640	1980
453	1642	1975
454	1645	1971
455	1657	1976
456	1659	1972
457	1661	1966
458	1671	1969
459	1674	1965
460	1677	1960
461	1684	1961
462	1687	1956
463	1689	1951
464	1691	1945
465	1693	1940
466	1700	1940
467	1702	1935
468	1704	1929
469	1706	1924
470	1714	1925
471	1716	1919
472	1718	1914
473	1720	1909
474	1722	1903
475	1723	1897
476	1730	1897
477	1732	1892
478	1734	1886
479	1736	1881
480	1738	1876
481	1743	1873
482	1745	1868
483	1747	1863
484	1749	1857
485	1750	1851
486	1752	1845
487	1753	1839
488	1757	1836
489	1759	1831
490	1761	1825
491	1762	1819
492	1764	1814
493	1766	1809
494	1767	1803
495	1769	1797
496	1774	1795
497	1775	1790
498	1777	1784
499	1778	1778
500	1780	1773
501	1782	1767
502	1784	1762
503	1788	1760
504	1791	1755
505	1792	1750
506	1794	1744
507	1795	1739
508	1797	1733
509	1798	1727
510	1803	1725
511	1806	1721
512	1808	1716
513	1809	1711
514	1811	1706
515	1813	1701
516	1816	1697
517	1819	1692
518	1820	1687
519	1821	1681
520	1823	1676
521	1825	1671
522	1826	1665
523	1829	1661
524	1832	1658
525	1834	1652
526	1835	1647
527	1837	1642
528	1838	1637
529	1840	1631
530	1841	1626
531	1846	1624
532	1848	1619
533	1849	1614
534	1851	1609
535	1852	1603
536	1854	1598
537	1855	1593
538	1857	1588
539	1861	1585
540	1862	1580
541	1864	1575
542	1865	1570
543	1867	1564
